From,To
 O75925,P51608
 P60891,P51608
 P57729,P51608
 Q9NS23-4,P51608
 Q8WWW0-2,P51608
 Q9ULX5,P51608
 Q96D59,P51608
 Q96ST3,P51608
 P51531,P51608
 Q12824,P51608
 Q16637-3,P51608
 Q7Z6I5,P51608
 O75558,P51608
 Q86WT6-2,P51608
 Q86UV6-2,P51608
 P10599,P51608
 O76024,P51608
 Q9QZR5,P51608
 Q60974,P51608
 Q9WU42,P51608
 Q9QXE7,P51608
 Q8BHJ5,P51608
 O88508,P51608
P51610,Q9UBL3
 Q92560,P51610
 O43889,P51610
 O43889-2,P51610
 Q9NS37,P51610
 O43524,P51610
 Q06546,P51610
 Q06547,P51610
 Q06547-2,P51610
 P51610,P51610
 Q13547,P51610
 Q92769,P51610
 O15294,P51610
 O15047,P51610
 Q96ST3,P51610
 Q96EB6,P51610
 P08047,P51610
 Q9H7L9,P51610
 Q9NVV9,P51610
 Q96EK4,P51610
 P61964,P51610
 Q13105,P51610
 Q14192,P51610
 Q9UPP1-2,P51610
P51617,Q15306
 Q92985,P51617
 Q99836,P51617
 Q96FA3,P51617
 Q9HAT8,P51617
 Q8N2H9-2,P51617
 Q13526,P51617
 Q86WV6,P51617
 P58753,P51617
 Q9Y4K3,P51617
 Q8VCW4,P51617
 Q5D1E7,P51617
P51636,Q03135
 P00533,P51636
 O00560,P51636
P51665,P54252
 P42858,P51665
 O00487,P51665
P51668,Q96B67
 Q96EP1-2,P51668
 Q86UW9,P51668
 Q8N9I9,P51668
 P62879,P51668
 Q6FHY5,P51668
 O15344,P51668
 Q9UJV3-2,P51668
 Q9UHC7,P51668
 Q9H000,P51668
 Q13064,P51668
 Q96FW1,P51668
 Q06587,P51668
 Q9Y3C5,P51668
 Q6ZNA4,P51668
 Q9Y4L5,P51668
 Q9BV68,P51668
 Q9UBS8,P51668
 Q9P0P0,P51668
 Q8N6D2,P51668
 Q96GF1,P51668
 Q99496,P51668
 Q96BH1,P51668
 Q99942,P51668
 Q9Y4K3,P51668
 O75382,P51668
 Q9HCM9,P51668
 Q9HCM9-2,P51668
 Q86XT4,P51668
 Q9BYV2,P51668
 Q9BVG3,P51668
 Q9BZR9,P51668
 Q9HAC8,P51668
 P55072,P51668
 P98170,P51668
 Q8ND25,P51668
 Q9CZW6,P51668
 O88846,P51668
 P62990,P51668
P51671,Q9Y4X3
 Q9NRJ3,P51671
 P13501,P51671
 P51677,P51671
 P02778,P51671
 P48061,P51671
 P27487,P51671
 P02776,P51671
P42858,P51674
 Q9UMF0,P51674
 O14901,P51674
 P37173,P51674
 Q5T9L3-1,P51674
 Q8IUH5,P51674
P51671,P51677
P51679,Q92583
 A5PKU2,P51679
P51681,Q16570-2
 Q92583,P51681
 PRO_0000005165 [P13236],P51681
 P13501,P51681
 P51681,P51681
 P01730,P51681
 P61073,P51681
 P54849,P51681
 O54081,P51681
P51687,Q8WXI4-2
 O95429,P51687
 Q13901,P51687
 A0A0C4DGW6,P51687
 Q9UQM7,P51687
 Q8IW40,P51687
 Q9BXL8,P51687
 Q8TAP6,P51687
 Q96BR5,P51687
 Q99627,P51687
 O43186,P51687
 P78358,P51687
 Q6BCY4-2,P51687
 Q96D03,P51687
 Q9NPF5,P51687
 Q9H596,P51687
 O00303,P51687
 A6NGS2,P51687
 O00167-2,P51687
 Q9NTX9,P51687
 O15287,P51687
 Q8IXW7,P51687
 Q53EP0-3,P51687
 A6NEM1,P51687
 Q9NP66,P51687
 Q0VD86,P51687
 Q8WYH8,P51687
 Q86U28,P51687
 Q13352,P51687
 Q2KHM9,P51687
 Q7Z3Y9,P51687
 Q7Z3Y8,P51687
 O76011,P51687
 Q6A162,P51687
 P61968,P51687
 P43364,P51687
 Q96LZ2,P51687
 Q8WWY6,P51687
 Q99750,P51687
 Q9H204,P51687
 Q99687-3,P51687
 Q6PF18,P51687
 Q01449,P51687
 O43795,P51687
 P37198,P51687
 P40855,P51687
 Q8WWB5,P51687
 P01189,P51687
 P54821,P51687
 Q9NZH5-2,P51687
 Q15293,P51687
 Q04864-2,P51687
 Q96CP1,P51687
 Q15669,P51687
 Q6NUQ1,P51687
 P05386,P51687
 Q96LW2,P51687
 Q9BVN2,P51687
 Q9UJW9,P51687
 O43765,P51687
 Q7L8J4,P51687
 Q96H20,P51687
 Q5JUK2,P51687
 Q8NBT2,P51687
 P51692,P51687
 Q8IWL8,P51687
 Q9H668,P51687
 Q96PV0,P51687
 Q9BXU0,P51687
 Q96RU7,P51687
 Q86UV6-2,P51687
 Q86WV8,P51687
 Q9UHD9,P51687
 Q8IWV8-2,P51687
 P61758,P51687
 Q9UK41-2,P51687
 Q8TF47,P51687
 P52747,P51687
 Q8N1W2,P51687
 Q2QGD7,P51687
 Q6ZN96,P51687
P51688,Q8NBK3
P00519,P51692
 P38936,P51692
 Q13111,P51692
 Q96EY1,P51692
 I6L957,P51692
 Q8TCE9,P51692
 P61968,P51692
 Q71SY5,P51692
 P82932,P51692
 Q13287,P51692
 Q92569,P51692
 Q09028,P51692
 Q99469,P51692
 P51692,P51692
 P51687,P51692
 Q96PN8,P51692
 O75604,P51692
 Q86VK4-3,P51692
P51693,P51693
 Q06481,P51693
 P05067-4,P51693
 Q93074,P51693
 Q9UBQ0-2,P51693
 P17028,P51693
P35226,P51784
 Q9HC52,P51784
 Q9NUI1,P51784
 Q86YC2,P51784
 P35227,P51784
 Q06587,P51784
 Q99496,P51784
 P03129,P51784
 Q9DLK6,P51784
 P15659,P51784
 P04608,P51784
 P62158,P51787
P51788,Q9UMX0-2
P13569,P51790
 P51790-1,P51790
 Q5T2W1,P51790
P51793,Q8WTS1
P51795,P51795
 O15066,P51795
P51798,Q6P5T0
 P19397,P51798
 Q8TB36,P51798
 O00258,P51798
 Q53GS7,P51798
 Q9UGI6-2,P51798
 Q8TAF8,P51798
 Q9Y5Y7,P51798
 P35372-10,P51798
 Q86WC4,P51798
 Q9NVC3,P51798
 Q8N2U9,P51798
 Q7Z699,P51798
 Q96MV1,P51798
 Q7Z7N9,P51798
P51800,P51800
 Q9H2G9,P51800
 Q8N865,P51800
 A8MQ03,P51800
 Q9UKT9,P51800
 Q86T90,P51800
 Q9BS75,P51800
 Q5T749,P51800
 Q15323,P51800
 O76011,P51800
 O76014,P51800
 Q6A163,P51800
 Q3LI59,P51800
 Q9BQ66,P51800
 Q9UBR4-2,P51800
 Q8WWY6,P51800
 P17568,P51800
 Q9BYU1,P51800
 O94991,P51800
 Q99081-3,P51800
 P15884-3,P51800
 Q96N21,P51800
 Q12933,P51800
 Q96RU7,P51800
 Q8NB15,P51800
P51808,Q8WU43
 Q9NRJ3,P51808
 Q13409-3,P51808
 P63172,P51808
 P51808,P51808
 Q9GZT8,P51808
 P54277-2,P51808
 Q6PJT7-6,P51808
P51809,P52594
 Q5SQN1,P51809
P46379-2,P51812
 P67870,P51812
 P09471,P51812
 P08238,P51812
 O14901,P51812
 P28482,P51812
 Q9HC98-4,P51812
 Q6P4D5-2,P51812
 P27986-2,P51812
 Q7Z698,P51812
 A1JU68,P51812
P51813,Q13490
 P08238,P51813
 P11309,P51813
 P11309-2,P51813
 Q16825,P51813
 P40763,P51813
P51814,Q8IZU0
 P60409,P51814
 Q8IZU0,P51814
 P55081,P51814
 Q6ZUT1,P51814
 Q15287,P51814
O00629,P51816
P51817,Q92917
 P08238,P51817
 P10644,P51817
 O43541,P51817
P46108,P51825
 P42568,P51825
 P04608,P51825
 P53367,P51825
P51843,Q96G04
 P62508,P51843
 P62508-3,P51843
 Q13285,P51843
 P35398,P51843
P51884,Q92993
 Q8TAP4-4,P51884
 P50281,P51884
 P17252,P51884
 Q15047-2,P51884
 P61981,P51884
P51946,Q9H2G9
 Q13137,P51946
 Q8IYT3,P51946
 P50991,P51946
 P24941,P51946
 Q00526,P51946
 Q00534,P51946
 P56545,P51946
 Q96D03,P51946
 Q9UNI6,P51946
 Q08379,P51946
 Q4V328,P51946
 Q6P597,P51946
 Q96EZ8,P51946
 Q9Y216,P51946
 O14777,P51946
 Q9NRD5,P51946
 Q13136,P51946
 P25786,P51946
 P10276,P51946
 Q15669,P51946
 P31947,P51946
 O95295,P51946
 O60504,P51946
 Q9Y2D8,P51946
 Q99081-3,P51946
 P15884-3,P51946
 Q8N7C3,P51946
 Q8N720,P51946
 O60232,P51946
P51948,Q08379
 P42858,P51948
 O60260-5,P51948
 Q9Y3C5,P51948
 Q13148,P51948
P51955,Q9UJX5
 P30260,P51955
 Q5T7B8,P51955
 Q8NG66,P51955
 P36873-1,P51955
 Q6GQ04,P51955
P51956,P52735
P51959,Q8NA61
 Q86Z20,P51959
 O95995,P51959
 Q6NT76,P51959
 P42858,P51959
 Q6A162,P51959
 P60409,P51959
 Q9BRK4,P51959
 Q9P286,P51959
 Q8ND90,P51959
 P30153,P51959
 Q93062,P51959
 Q9UBB9,P51959
 Q15025,P51959
P51965,Q96FW1
 Q8N7H5,P51965
 Q9Y3C5,P51965
 Q5VTR2,P51965
 Q96BH1,P51965
 Q8ND25,P51965
 Q99PZ6,P51965
G5E9A7,P51970
 O75489,P51970
 Q7Z699,P51970
P09651,P51991
O75923,P52179
 P52179,P52179
 P52179-1,P52179
 Q15323,P52179
 Q07627,P52179
 Q6L8G8,P52179
 Q5JR59-3,P52179
 Q5VU43-2,P52179
 Q96I34,P52179
 Q9UBB9,P52179
 P36406,P52179
O43157,P52198
 O15031,P52198
 Q8R511,P52198
P52272,Q99996-2
 Q99459,P52272
 Q8NEA9,P52272
 O14964,P52272
 P52597,P52272
 P31943,P52272
 Q96PV6,P52272
 P25800,P52272
 P25791,P52272
 P25791-3,P52272
 P43360,P52272
 O43660,P52272
 Q8WW24,P52272
 O95271,P52272
 Q92973,P52272
 Q13077,P52272
 Q9BZW7,P52272
 Q8AZK7,P52272
P52292,P63010
 P38398,P52292
 Q96C86,P52292
 Q53SE7,P52292
 Q9NP66,P52292
 P07910,P52292
 Q8IX15-3,P52292
 Q8NBZ0,P52292
 Q14653,P52292
 P05412,P52292
 Q14974,P52292
 Q14974-1,P52292
 Q6A162,P52292
 Q9BRK4,P52292
 Q9Y5V3,P52292
 Q99750,P52292
 P40692,P52292
 Q9UBU8-2,P52292
 Q7Z6G3-2,P52292
 Q16236,P52292
 Q9HAN9,P52292
 Q9UKX7,P52292
 P37198,P52292
 Q86Y26,P52292
 Q96PV4,P52292
 Q93062,P52292
 P46063,P52292
 O43148,P52292
 P29034,P52292
 P06703,P52292
 Q9UJW9,P52292
 Q15637,P52292
 Q9UH99,P52292
 O75478,P52292
 Q9BYV2,P52292
 Q8N6Y0,P52292
 P0DTC6,P52292
 P03126,P52292
 P03101,P52292
 P03107,P52292
 Q6GQG6,P52292
 K9N643,P52292
 P04620,P52292
 A0A3G5BIZ0,P52292
 P03070,P52292
P52294,Q9GZX7
 Q92688,P52294
 Q9HAZ1,P52294
 Q5TAQ9,P52294
 Q13255,P52294
 Q14974,P52294
 P20700,P52294
 Q9BQ69,P52294
 Q9HAN9,P52294
 Q9UKX7,P52294
 Q9BUI4,P52294
 Q15637,P52294
 P42224,P52294
 Q16594,P52294
 K9N643,P52294
 B4URF7,P52294
 P31345,P52294
 PRO_0000037548 [Q9WMX2],P52294
P52298,Q9BRK4
 Q09161,P52298
 Q14974-1,P52298
P52306,Q9NS73-5
 Q9UF11,P52306
 PRO_0000449620 [P0DTD1],P52306
 Q96CV9,P52306
 O95057,P52306
 Q96HU8,P52306
 P01112-2,P52306
 P01111,P52306
 Q9UF11-2,P52306
 Q9NRW1,P52306
 P61225,P52306
 Q9Y3L5,P52306
 Q6ZMZ0,P52306
 P10301,P52306
 P62070,P52306
P52333,Q07666
 Q9UNF1,P52333
 P55209,P52333
P52435,Q494R4-2
 P15173,P52435
 Q96HA8,P52435
 O43482,P52435
 O15160,P52435
 O00560,P52435
 O75971-2,P52435
 Q9BUZ4,P52435
 A5D8V6,P52435
P52564,Q5S007
 Q16539,P52564
 Q16236,P52564
 Q9NRD5,P52564
 O76024,P52564
 P52564-1,P52564
P52565,P60953
 P63000,P52565
 P61586,P52565
 Q9BSI4,P52565
 Q9NS68,P52565
P01100,P52566
 P62993,P52566
 P31930,P52566
P52594,P63010
 P42566,P52594
 Q9P242,P52594
 P56282,P52594
 Q93009,P52594
 P51809,P52594
P52597,Q53H80
 P41238,P52597
 Q86V38,P52597
 Q9Y6H3,P52597
 Q9BXC9,P52597
 Q5SWW7,P52597
 Q6P1W5,P52597
 Q8N684-3,P52597
 Q86Y13,P52597
 Q9NRA8,P52597
 Q9NVL1-2,P52597
 A0A024R5S0,P52597
 P31943,P52597
 P52272,P52597
 Q9BUJ2,P52597
 Q96LI6,P52597
 Q9UKT9,P52597
 Q0VD86,P52597
 Q6IPM2,P52597
 Q92993,P52597
 Q13351,P52597
 Q9UIH9,P52597
 Q5T749,P52597
 O95678,P52597
 Q8IUC3,P52597
 Q14847-2,P52597
 Q8TAP4-4,P52597
 Q8TBB1,P52597
 Q9NRX2,P52597
 O43347,P52597
 Q8NI38,P52597
 Q9BRJ7,P52597
 Q9HBE1-4,P52597
 Q9NR12,P52597
 P62937-2,P52597
 P17252,P52597
 O75360,P52597
 B1ATL7,P52597
 Q9NV39,P52597
 O43251,P52597
 O43251-10,P52597
 Q04864-2,P52597
 Q9BVN2,P52597
 Q15047-2,P52597
 Q8ND83,P52597
 Q53HV7-2,P52597
 O60504,P52597
 Q6RVD6,P52597
 Q96A09,P52597
 Q92734,P52597
 Q96PF1,P52597
 Q08117,P52597
 Q08117-2,P52597
 Q96RU7,P52597
 Q14142,P52597
 Q9H9P5-5,P52597
 Q70EL1-9,P52597
 Q99990,P52597
 A5D8V6,P52597
 P61981,P52597
 A0A0C4DGF1,P52597
 Q9P0T4,P52597
 Q96H86,P52597
P17181,P52630
 P48551,P52630
 Q00978,P52630
 P42224,P52630
 P52630,P52630
 P29597,P52630
 P0DTC9,P52630
 P0C774,P52630
 P11207,P52630
 Q77PU6,P52630
P52655,Q96CA5
 O75460-2,P52655
 P22607,P52655
 Q0VDC6,P52655
 P52657,P52655
 P01112,P52655
 P23511,P52655
 P23511-2,P52655
 D3DTS7,P52655
 P86480,P52655
 P62333,P52655
 Q02446,P52655
 P20226,P52655
 P62380,P52655
P52655,P52657
 P20226,P52657
 Q9C029,P52657
P52701,Q9NXL9
 P43246,P52701
P52735,Q8IZP0
 Q03135,P52735
 P04626,P52735
 Q13480,P52735
 P51956,P52735
 P78314,P52735
 O75674,P52735
 Q9H3M7,P52735
P01100,P52736
 P60409,P52736
P52738,Q9H6L4
 Q9NPB3,P52738
 Q8NHQ1,P52738
P52739,Q14192
 Q5TD97,P52739
 Q8NDC4,P52739
 P78356-2,P52739
 P40337-2,P52739
P52742,Q49AR9
 P61968,P52742
 Q9BWG6,P52742
 Q9NZC7-5,P52742
P52744,Q9P287
 P49366,P52744
 Q8IYF1,P52744
 P28799,P52744
 P42858,P52744
 P60371,P52744
 P60409,P52744
 P60410,P52744
 P60328,P52744
 Q9UPM6,P52744
 P45984,P52744
 Q99750,P52744
 Q7Z699,P52744
 Q8WV44,P52744
 O76024,P52744
 Q96BR9,P52744
 Q6A162,P52744
P52747,Q96JC9
 Q9H0I2,P52747
 Q9Y3B2,P52747
 Q86YD7,P52747
 Q14192,P52747
 Q14005-2,P52747
 Q8NA54,P52747
 Q6MZP7,P52747
 P25800,P52747
 Q8TAP4-4,P52747
 Q9BRQ3,P52747
 Q7Z3K3,P52747
 P14678-2,P52747
 Q5MJ09,P52747
 P51687,P52747
 Q9NYJ8,P52747
 Q9Y4C2-2,P52747
 Q9BW85,P52747
 Q7Z4V0,P52747
 Q96KM6,P52747
P02649,P52756
 P27797,P52756
 O43143,P52756
 P36957,P52756
 P42858,P52756
 Q92876,P52756
 P50221,P52756
 Q6FHY5,P52756
 O95822-2,P52756
 Q8TDX7,P52756
 Q9UMS4,P52756
 P37173,P52756
 P26368,P52756
 O15042,P52756
P52757,Q8NFD2
 P16333,P52757
 O43639,P52757
 P63000,P52757
 Q96LD8,P52757
 Q8N9I8,P52757
P52758,Q8N9N5-2
P43365,P52789
 Q9NQ88,P52789
 Q9UMX0,P52789
 Q9UMX0-2,P52789
 P05480,P52789
P52790,Q92870-2
 Q86V38,P52790
 P48643,P52790
 P50570-2,P52790
 P42858,P52790
 Q92876,P52790
 Q6FHY5,P52790
 P60891,P52790
 Q9Y3C5,P52790
 O76024,P52790
P52797,Q07627
 Q5TA81,P52797
 P50222,P52797
 Q7Z3S9,P52797
P52798,Q9BVK8
 A5PKU2,P52798
P52799,Q86W74-2
 P54764,P52799
 P54760,P52799
 O43639,P52799
 O89343,P52799
 Q9IH62,P52799
 P41181,P52803
 Q13520,P52803
 Q8NFU1,P52803
 P19397,P52803
 O00501,P52803
 P49447,P52803
 P29317,P52803
 P54764,P52803
 O14843,P52803
 P08034,P52803
 Q8TDV0,P52803
 Q8TDT2,P52803
 Q8N6U8,P52803
 O15529,P52803
 Q9BSE4,P52803
 P31937,P52803
 Q8N6L0,P52803
 Q96HJ5,P52803
 Q9UBD6,P52803
 O95470,P52803
 Q12908,P52803
 Q9UKG4,P52803
 Q9NQQ7-3,P52803
 Q8WWF3,P52803
 Q96CE8,P52803
 Q96Q45-2,P52803
 P34981,P52803
 Q5TGU0,P52803
 Q96EC8,P52803
P52815,Q13185
 Q5VUJ9-2,P52815
 O95967,P52815
 Q2M3D2,P52815
 P23142-4,P52815
 Q9UPY8,P52815
 Q9UBU8-2,P52815
 Q15014,P52815
 P41271-2,P52815
 Q96HA8,P52815
 Q9P121-3,P52815
 O00411,P52815
 Q96I34,P52815
 P21673,P52815
 Q8WYJ6,P52815
 Q8IWR1,P52815
 O14530,P52815
 P36508,P52815
P52823,Q6FHY5
 P52823,P52823
P0DPK4,P52824
O95208-2,P52888
 Q96CV9,P52888
 P62161,P52888
P23297,P52907
 P33763,P52907
 P04271,P52907
 P25815,P52907
 Q96B97,P52907
P52926,Q96LA8
 Q01196,P52926
P52948,P78406
 Q93009,P52948
 P0DTC6,P52948
 P59634,P52948
P43694,P52952
 O00629,P52952
 Q8IUC2,P52952
 Q93062-3,P52952
 O15266-2,P52952
 Q99593-1,P52952
 Q15642-2,P52952
 Q71FD7,P52952
P52954,Q9NZN9
 P17661,P52954
 O95967,P52954
 P63241,P52954
 A6H8Z2,P52954
 Q8IZU0,P52954
 P46940,P52954
 Q63ZY3,P52954
 P33176,P52954
 Q9BVG8-5,P52954
 Q6L8G9,P52954
 Q9BYQ4,P52954
 Q8N8X9,P52954
 O43189,P52954
 Q8WWY3,P52954
 Q2TAL8,P52954
 Q5QJ74,P52954
 Q8N6L7,P52954
 Q96PN8,P52954
 P0CB47,P52954
 Q9BYP7,P52954
 Q6P088,P52954
 PRO_0000449631 [P0DTD1],P52954
 PRO_0000449633 [P0DTD1],P52954
 P0DTF1,P52954
P53004,Q8TBB1
 P28482,P53004
P53041,Q9UL18
 Q9H9G7,P53041
 Q16543,P53041
 P50750,P53041
 Q49AN0,P53041
 P03372,P53041
 Q92731,P53041
 P07900,P53041
 P08238,P53041
 Q5SY16,P53041
 P30153,P53041
 P53041,P53041
 P31948,P53041
P05067,P53350
 O14965,P53350
 Q9Y2T1,P53350
 Q9NR09,P53350
 P54132,P53350
 Q6PGQ7,P53350
 Q14790,P53350
 P30307,P53350
 Q99741,P53350
 Q71F23-1,P53350
 Q76N32,P53350
 O96017,P53350
 O14641,P53350
 P23588,P53350
 Q2NKX8,P53350
 O60447,P53350
 Q13158,P53350
 Q9NYZ3,P53350
 P08107,P53350
 O95251,P53350
 P49736,P53350
 P33993,P53350
 Q00987,P53350
 Q8TD19,P53350
 Q5HYW2,P53350
 O75665,P53350
 Q8IXK0,P53350
 P53350,P53350
 P49768-2,P53350
 Q9H0H5,P53350
 Q8IY92,P53350
 Q92844,P53350
 Q15583,P53350
 P04637,P53350
 Q12888,P53350
 P30291,P53350
 Q60838,P53350
 P23804,P53350
 P70399-1,P53350
 PRO_0000045602 [Q99IB8],P53350
O95816,P53355
 Q14457,P53355
 P62158,P53355
 P53355,P53355
 Q9Y2M5,P53355
 Q9UHB6,P53355
 Q38SD2,P53355
 Q5S007,P53355
 P27361,P53355
 O75340,P53355
 P14618,P53355
 P14618-1,P53355
 P63151,P53355
 Q9UNE7,P53355
P53365,Q6RW13
 Q6RW13-2,P53365
 P62330,P53365
 P53367,P53365
 P53365,P53365
 Q6QNY1,P53365
 Q9UFG5,P53365
 P51861,P53365
 Q96MT8,P53365
 Q96DZ9-2,P53365
 O43739-2,P53365
 Q6ZPD8,P53365
 Q9NPF5,P53365
 Q8N9I5,P53365
 A1L4K1,P53365
 Q08379,P53365
 Q2KHT4-3,P53365
 Q96CS2,P53365
 O14964,P53365
 P42858,P53365
 Q8WYH8,P53365
 Q13352,P53365
 Q13352-5,P53365
 P19012,P53365
 P08779,P53365
 P13473-2,P53365
 Q8TBB1,P53365
 Q969L2,P53365
 Q9NQG6,P53365
 Q96C03-3,P53365
 Q9ULP0-2,P53365
 Q16236,P53365
 Q9H7Z3,P53365
 P37198,P53365
 Q96AL5,P53365
 Q96KN3,P53365
 Q04941,P53365
 P30405,P53365
 O75400-2,P53365
 P63000,P53365
 P15153,P53365
 P60763,P53365
 Q00765,P53365
 Q04864-2,P53365
 Q92730,P53365
 O15126,P53365
 Q8TAC9,P53365
 O00560,P53365
 Q9Y371,P53365
 Q9H0W8,P53365
 P08247,P53365
 Q8WV15,P53365
 Q9BYV2,P53365
 P49638,P53365
 Q8N6Y0,P53365
P51825-3,P53367
 P84077,P53367
 P53365,P53367
 P40616,P53367
 Q8WZ55,P53367
 Q96DZ9-2,P53367
 Q9BSY9,P53367
 Q7Z3Y8,P53367
 Q14525,P53367
 P43360,P53367
 Q15139,P53367
 Q9NS64,P53367
 O15126,P53367
 Q8WV19,P53367
 Q71RC9,P53367
 O60906,P53367
 O43761,P53367
 Q9UBN6,P53367
P21549,P53539
 P15336,P53539
 Q9BU64,P53539
 Q02930-3,P53539
 Q9UIA0,P53539
 Q9H0I2,P53539
 Q8WU58,P53539
 Q86YD7,P53539
 Q9BZS1,P53539
 Q9BZE0,P53539
 P17275,P53539
 O43639,P53539
 Q14511-2,P53539
 Q16236,P53539
 B7ZLY0,P53539
 O43189,P53539
 Q7Z3K3,P53539
 P78424,P53539
 Q01974,P53539
 Q96A09,P53539
 Q08117-2,P53539
 O43711,P53539
 Q14119,P53539
 Q96K80,P53539
P15336,P53567
 P18847,P53567
 P18848,P53567
 Q9Y2D1,P53567
 Q16520,P53567
 Q8N1L9,P53567
 Q9NR55,P53567
 P49715,P53567
 P17676,P53567
 P49716,P53567
 Q15744,P53567
 P35638,P53567
 P35638-2,P53567
 P01100,P53567
 Q16236,P53567
 O15212,P53567
 P0C746,P53567
O76003,P53582
 Q0VD86,P53582
 Q6FHY5,P53582
 Q14596-2,P53582
 Q58EX7,P53582
 Q9UGI0,P53582
P53597,Q96I99
P49354,P53609
P10398,P53611
 Q9UBV7,P53611
 P24592,P53611
 Q92696,P53611
 Q7Z5A9,P53611
 Q86YD3,P53611
 P57081,P53611
 P56945,P53618
 Q9BZE4,P53618
 P42858,P53618
 Q86T90,P53618
 Q9Y250,P53618
 Q96RS6,P53618
 Q9UH99,P53618
 O94972,P53618
 Q9BSA4,P53618
 G5E9A7,P53634
 Q7Z699,P53634
P53667,Q8WYQ4-2
 P23528,P53667
 O95835,P53667
 P50281,P53667
 Q13153,P53667
 Q13177,P53667
 Q8WYL5,P53667
 P29066,P53667
 P29067,P53667
 P63319,P53667
P53671,Q16543
 P08238,P53671
P53672,Q9NYG5-2
 Q03989,P53672
 P54253,P53672
 P46379-2,P53672
 Q9NP55,P53672
 Q5SWW7,P53672
 Q6P5X5,P53672
 Q9GZU7,P53672
 A8MQ03,P53672
 O75190-2,P53672
 Q13643,P53672
 Q5TD97,P53672
 P21333-2,P53672
 P42858,P53672
 O14901,P53672
 Q8IUC1,P53672
 Q3SY46,P53672
 Q8IUC3,P53672
 Q14847-2,P53672
 Q8NI38,P53672
 Q8TDS5,P53672
 Q92569,P53672
 Q9BVN2,P53672
 P00441,P53672
 Q12933,P53672
 Q15645,P53672
 Q9H9P5-5,P53672
 Q08AM6,P53672
P53673,Q6P1W5
 Q8N5R6,P53673
 Q8TAP6,P53673
 P53673,P53673
 P53674,P53673
 Q12805,P53673
 Q5TD97,P53673
 P08151,P53673
 Q9UKT9,P53673
 A9UHW6-2,P53673
 O75558,P53673
 Q15654,P53673
P53674,Q10567-3
 P05813,P53674
 P53673,P53674
 Q96D03,P53674
 O00471,P53674
 O95995,P53674
 P54274,P53674
P53675,PRO_0000449631 [P0DTD1]
P22607,P53677
 P01112,P53677
 Q6FHY5,P53677
 Q7Z699,P53677
P53680,Q6PD74
P06307,P53701
 Q9UHD4,P53701
 Q9HC62,P53701
 Q9Y371,P53701
 Q13596,P53701
P05067,P53778
 Q12959,P53778
 Q16512,P53778
 P29074,P53778
 Q14160,P53778
 Q8IUQ4,P53778
P49407,P53779
 P05412,P53779
 P17535,P53779
 Q04206,P53779
P53801,Q86WK6
 Q86V38,P53801
 O75787,P53801
 Q9BXN2,P53801
 Q9BXN2-6,P53801
 P02489,P53801
 Q92876,P53801
 Q5T700,P53801
 P23219,P53801
 Q16585,P53801
 A1A5C7-2,P53801
 Q9BVX2,P53801
 O15393-2,P53801
 O43557,P53801
P53803,Q96B97
P31749,P53804
 P31751,P53804
 Q9Y243,P53804
 Q9HAU4,P53804
P04049,P53805
 P53805-2,P53805
 Q61214,P53805
P53814,Q4L180-3
 O76024,P53814
P30153,P53816
 Q9UMX0,P53816
 Q9UMX0-2,P53816
 Q9UHD9,P53816
P53985,Q66PJ3-4
 Q92782-2,P53985
 Q9UH65,P53985
P13798,P53990
 P54253,P53990
 Q7Z479,P53990
 Q9Y6W3,P53990
 Q9UMX0,P53990
 P13798,P53990
 O95429,P53990
 Q9HD42,P53990
 Q9UHD9,P53990
 Q7LBR1,P53990
 P53990-4,P53990
P00540,P53992
 Q15436,P53992
 O43516,P53992
P28288-2,P53999
 P33240-1,P53999
 Q6P4D5-2,P53999
 O00560,P53999
 P53999,P53999
 P03132,P53999
P54098,Q9UHN1
P11171-2,P54105
 Q6ZUT3,P54105
 Q9Y333,P54105
 P62310,P54105
 P62312,P54105
 O14744,P54105
 P14678,P54105
 P14678-2,P54105
 P62314,P54105
 P62316,P54105
 P62318,P54105
 P62306,P54105
 P62308,P54105
P54108,Q8TDT2
P54132,Q9BX63
 P39748,P54132
 Q9BQ15,P54132
 P53350,P54132
 O75771,P54132
 Q9H9A7,P54132
 P27694,P54132
 P42677,P54132
 Q14159,P54132
 P54274,P54132
 Q15554,P54132
 Q13472,P54132
 Q96RL1,P54132
 Q14191,P54132
P54136,Q12904-2
 Q96NT0,P54136
 Q9P2J5,P54136
 Q96K83,P54136
P54198,Q9Y294
 Q9NVP2,P54198
 Q9NPG3,P54198
P54219,Q6RW13-2
 Q86W74-2,P54219
 Q9BQE5,P54219
 Q6PL45-2,P54219
 O14523,P54219
 P13236,P54219
 Q8NHW4,P54219
 O95406,P54219
 P29400-2,P54219
 O14569,P54219
 Q92520,P54219
 Q14802-3,P54219
 Q8WWP7,P54219
 P29033,P54219
 Q8TDV0,P54219
 O43561-2,P54219
 Q13021,P54219
 Q6ZSS7,P54219
 O43451,P54219
 P30301,P54219
 P11836,P54219
 Q5J8X5,P54219
 Q99519,P54219
 Q8IXM6,P54219
 Q6UX06,P54219
 Q9P0S3,P54219
 Q9Y5Y5,P54219
 P60201-2,P54219
 Q04941,P54219
 Q01453,P54219
 P54315,P54219
 Q59EV6,P54219
 Q9NS64,P54219
 Q9BRI3,P54219
 Q8IWU4,P54219
 Q969S0,P54219
